product,category,subcategory,database,abbreviated_database,region,nutritional level,dish
Sashimi,Fish,Varied Fish,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
sashimi,Fish,Varied Fish,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
sashimi bowl,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Sauerbraten,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
sausage,Meat,Sausage,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Sausage_and_peppers,Mixed Food,Meat and Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Sausage_bun,Fast Food,Hot Dog,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
Sausage_roll,Mixed Food,Stuffed Dough,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Sausage_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
sauteed spinach,Vegetables,Cooked Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
sauteed vegetables,Mixed Food,Mixed Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
Sauteed_mushrooms,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
scallops,Seafood,Mollusk,Food-101,Food101,INTERNATIONAL,4,Main
Scampi,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Schweinshaxe,Meat,Varied Meat,ISIA Food-500,ISIA,EUROPE,2,Main
scone,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
scrambled egg,Eggs,Eggs,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Seafood_boil,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Seafood_pizza,Fast Food,Pizza,ISIA Food-500,ISIA,INTERNATIONAL,1,Main
seasoned beef with potatoes,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
seaweed_salad,Salad,Other Types of Salad,Food-101,Food101,EAST AND SOUTHEAST ASIA,3,Main
Sesame_chicken,Meat,White Meat,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Shaker_Lemon_Pie,Sweet Products,Pastries,ISIA Food-500,ISIA,NORTH AMERICA,1,Dessert
Shanghai_fried_noodles,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
She-crab_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Sheep's_trotters,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
shortcake,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
shrimp,Mixed Food,Mixed Seafood,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Shrimp patties,Mixed Food,Mixed Seafood,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
shrimp with chill source,Mixed Food,Mixed Seafood,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
shrimp_and_grits,Mixed Food,Mixed Seafood,Food-101,Food101,NORTH AMERICA,4,Main
Shrimp_ball,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Shrimp_toast,Bread and Similar Products,Toast,ISIA Food-500,ISIA,INTERNATIONAL,3,Dessert
Shuizhu,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
Sicilian_orange_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,EUROPE,3,Main
simmered pork,Meat,Varied Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
sirloin cutlet,Meat,Breaded Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Sliced_fish_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Small steamed savory rice pancake,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Smoked_salmon,Fish,Varied Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Soba,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
soba noodle,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Soft-shell_crab,Mixed Food,Mixed Seafood,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Sopa_de_Mandioca,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,4,Main
soup,Soups and Stews,Soups and Creams,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Sour prawn soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Soused_herring,Fish,Varied Fish,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
souvlaki,Mixed Food,Meat and Vegetables,MAFood-121,MAFood121,EUROPE,3,Main
spaghetti,Noodle and Pasta,Italian Pasta,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
spaghetti meat sauce,Noodle and Pasta,Italian Pasta,UECFood-256,UECFOOD256,INTERNATIONAL,6,Main
spaghetti_bolognese,Noodle and Pasta,Italian Pasta,Food-101,Food101,INTERNATIONAL,6,Main
spaghetti_carbonara,Noodle and Pasta,Italian Pasta,Food-101,Food101,INTERNATIONAL,6,Main
spam musubi,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,NORTH AMERICA,3,Main
spanakopita,Mixed Food,Pie,MAFood-121,MAFood121,EUROPE,2,Main
Spanish_rice,Mixed Food,Mixed Rice,ISIA Food-500,ISIA,EUROPE,6,Main
Spatzle,Noodle and Pasta,Other Types of Pasta,ISIA Food-500,ISIA,EUROPE,6,Main
Spiced_beef,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
spicy chicken salad,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
spicy chili-flavored tofu,Mixed Food,Mixed Beans,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Spinach_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Spinach_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
spring_rolls,Mixed Food,Fried Food,Food-101,Food101,EAST AND SOUTHEAST ASIA,2,Main
Squash_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
steak,Meat,Red Meat,Food-101,Food101,INTERNATIONAL,2,Main
steak,Meat,Red Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
steak,Meat,Red Meat,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Main
Steak_tartare,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
steamed egg hotchpotch,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
steamed meat dumpling,Mixed Food,Dumpling,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
Steamed rice roll,Mixed Food,Mixed Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
steamed spareribs,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
Steamed_clams,Seafood,Mollusk,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Steamed_meatball,Meat,Red Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
Steamed_rice,Rice,Rice,ISIA Food-500,ISIA,INTERNATIONAL,6,Main
stew,Soups and Stews,Stews,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
stew_beef,Soups and Stews,Stews,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Main
Stew_peas,Soups and Stews,Stews,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,4,Main
stewed pork leg,Mixed Food,Rice and Meat,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
stinky tofu,Mixed Food,Mixed Beans,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Stinky_tofu,Mixed Food,Mixed Beans,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
stir-fried beef and peppers,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,3,Main
stir-fried mixed vegetables,Mixed Food,Mixed Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,5,Main
Stir-fried_tomato_and_scrambled_eggs,Mixed Food,Mixed Eggs,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Strawberry_cake,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Strawberry_cheesecake,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Strawberry_ice_cream,Sweet Products,Dairy Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Strawberry_jam,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Strawberry_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
strawberry_shortcake,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
Strawberry_sundae,Sweet Products,Fruit Dessert,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Strawberry_tart,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Stuffed_avocado,Mixed Food,Mixed Food,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Stuffed_eggplant,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
Stuffed_mushrooms,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
Stuffed_peppers,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
Stuffed_tomatoes,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,5,Main
Suanmeitang,Drinks,Sugary Drinks,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Drinks
Succotash,Vegetables,Cooked Vegetables,ISIA Food-500,ISIA,NORTH AMERICA,5,Main
Suckling_pig,Meat,Varied Meat,ISIA Food-500,ISIA,INTERNATIONAL,2,Main
sukiyaki,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
sushi,Mixed Food,Sushi,Food-101,Food101,EAST AND SOUTHEAST ASIA,4,Main
sushi,Mixed Food,Sushi,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
sushi,Mixed Food,Sushi,VIPER-FoodNet,VIPER,EAST AND SOUTHEAST ASIA,4,Main
sushi bowl,Mixed Food,Sushi,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Svíčková,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
sweet and sour pork,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Sweet_potato_pie,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
Sweet_saffron_rice,Rice,Rice,ISIA Food-500,ISIA,CENTRAL ASIA,6,Main
Syrniki,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
Tabbouleh,Salad,Other Types of Salad,ISIA Food-500,ISIA,NORTH AFRICA AND WEST ASIA,3,Main
taco,Sandwich and Similar Products,Wrap,VIPER-FoodNet,VIPER,LATIN AMERICA AND THE CARIBBEAN,3,Main
tacos,Sandwich and Similar Products,Wrap,Food-101,Food101,LATIN AMERICA AND THE CARIBBEAN,3,Main
Tacos,Sandwich and Similar Products,Wrap,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,3,Main
tacos,Sandwich and Similar Products,Wrap,UECFood-256,UECFOOD256,LATIN AMERICA AND THE CARIBBEAN,3,Main
Tafelspitz,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
takoyaki,Mixed Food,Stuffed Dough,Food-101,Food101,EAST AND SOUTHEAST ASIA,2,Main
Takoyaki,Mixed Food,Stuffed Dough,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
takoyaki,Mixed Food,Stuffed Dough,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
tamarillos,Fruits,Fruits,FruitVeg-81,FruitVeg81,LATIN AMERICA AND THE CARIBBEAN,5,Dessert
tandoori_chicken,Meat,White Meat,MAFood-121,MAFood121,EAST AND SOUTHEAST ASIA,4,Main
tanmen,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Taro_dumpling,Mixed Food,Dumpling,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
tempura,Mixed Food,Fried Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
tempura bowl,Mixed Food,Fried Food,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
tempura udon,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
tensin noodle,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
teriyaki grilled fish,Fish,Varied Fish,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Thai papaya salad,Salad,Other Types of Salad,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
thinly sliced raw horsemeat,Meat,Red Meat,UECFood-256,UECFOOD256,INTERNATIONAL,2,Main
three cup chicken,Mixed Food,Mixed Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
Tinga_dish,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,2,Main
tiramisu,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
Tiramisu,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
tiramisu,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
Toad_in_the_hole,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main
toast,Bread and Similar Products,Toast,UECFood-256,UECFOOD256,INTERNATIONAL,3,Dessert
Tobiko,Mixed Food,Sushi,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Tomato_and_egg_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
Tomato_bredie,Soups and Stews,Stews,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Tomato_omelette,Mixed Food,Mixed Eggs,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Tomato_soup,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
tomatokeftedes,Vegetables,Fried Vegetables,MAFood-121,MAFood121,EUROPE,4,Main
tomatos,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Tonkatsu,Meat,Breaded Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
Tonkotsu_ramen,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Torta_caprese,Sweet Products,Pastries,ISIA Food-500,ISIA,EUROPE,1,Dessert
Tostada,Bread and Similar Products,Toast,ISIA Food-500,ISIA,LATIN AMERICA AND THE CARIBBEAN,3,Dessert
tostada,Bread and Similar Products,Toast,VIPER-FoodNet,VIPER,LATIN AMERICA AND THE CARIBBEAN,3,Dessert
tostadas,Bread and Similar Products,Toast,MAFood-121,MAFood121,LATIN AMERICA AND THE CARIBBEAN,3,Dessert
Tourtière,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,NORTH AMERICA,2,Main
trunip pudding,Vegetables,Fried Vegetables,UECFood-256,UECFOOD256,INTERNATIONAL,4,Main
Tsukemono,Mixed Food,Mixed Vegetables,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,5,Main
Tuna_fish_sandwich,Sandwich and Similar Products,Sandwich,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
Tuna_salad,Salad,Other Types of Salad,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
tuna_salad,Salad,Other Types of Salad,VIPER-FoodNet,VIPER,INTERNATIONAL,3,Main
tuna_tartare,Fish,Varied Fish,Food-101,Food101,INTERNATIONAL,4,Main
turkey,Meat,Red Meat,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Main
Turnip_cake,Vegetables,Fried Vegetables,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
turnips,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
twice cooked pork,Mixed Food,Meat and Vegetables,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,3,Main
Twix,Sweet Products,Pastries,ISIA Food-500,ISIA,INTERNATIONAL,1,Dessert
udon noodle,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Unagi,Mixed Food,Mixed Fish,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
vegetable tempura,Vegetables,Fried Vegetables,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Vegetarian_chili,Mixed Food,Mixed Beans,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Vermicelli noodles with snails,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Vichyssoise,Soups and Stews,Soups and Creams,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
Vindaloo,Mixed Food,Rice and Meat,ISIA Food-500,ISIA,CENTRAL ASIA,3,Main
Vitello_tonnato,Mixed Food,Mixed Food,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
waffle,Sweet Products,Pastries,UECFood-256,UECFOOD256,INTERNATIONAL,1,Dessert
waffle,Sweet Products,Pastries,VIPER-FoodNet,VIPER,INTERNATIONAL,1,Dessert
waffles,Sweet Products,Pastries,Food-101,Food101,INTERNATIONAL,1,Dessert
Wakame,Salad,Side Dish Salad,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,5,Side
Wenchang_chicken,Meat,White Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
White_boiled_shrimp,Seafood,Crustacean,ISIA Food-500,ISIA,INTERNATIONAL,4,Main
White_cut_chicken,Meat,White Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,4,Main
white_rice,Mixed Food,Mixed Rice,VIPER-FoodNet,VIPER,INTERNATIONAL,6,Main
white_wine,Drinks,Alcoholic Drinks,VIPER-FoodNet,VIPER,INTERNATIONAL,2,Drinks
Whitebait,Fish,Fried or Breaded Fish,ISIA Food-500,ISIA,INTERNATIONAL,3,Main
winter melon soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Wonton soup,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Wonton_noodles,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Wotou,Bread and Similar Products,Other Types of Bread,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Appetizer
xiao long bao,Mixed Food,Dumpling,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,2,Main
yakitori,Meat,White Meat,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
yeast_bread,Bread and Similar Products,Other Types of Bread,VIPER-FoodNet,VIPER,INTERNATIONAL,3,Appetizer
yellow curry,Soups and Stews,Stews,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
yemista,Mixed Food,Mixed Rice,MAFood-121,MAFood121,EUROPE,6,Main
Yeung_Chow_fried_rice,Rice,Rice,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
yogurt,Dairy Products,Yogurt,VIPER-FoodNet,VIPER,INTERNATIONAL,4,Appetizer
Youtiao,Sweet Products,Pastries,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,1,Dessert
yudofu,Beans,Cooked Beans,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
Yuxiangrousi,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,2,Main
zha jiang mian,Noodle and Pasta,Noodle,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,6,Main
Zhajiangmian,Noodle and Pasta,Noodle,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,6,Main
Zongzi,Mixed Food,Mixed Food,ISIA Food-500,ISIA,EAST AND SOUTHEAST ASIA,3,Main
zoni,Soups and Stews,Soups and Creams,UECFood-256,UECFOOD256,EAST AND SOUTHEAST ASIA,4,Main
zucchinis,Vegetables,Fresh Vegetables,FruitVeg-81,FruitVeg81,INTERNATIONAL,5,Main
Zurcher_Geschnetzeltes,Mixed Food,Mixed Meat,ISIA Food-500,ISIA,EUROPE,2,Main